Date,Open,High,Low,Close,Adj Close,Volume
2002-02-20,55.311111,56.177776,54.000000,54.466667,19.928545,5523997
2002-02-21,54.666664,55.522221,53.222221,53.444443,19.554525,4332906
2002-02-22,53.666664,55.888889,53.333332,55.177776,20.188725,5159889
2002-02-25,54.666664,58.000000,54.666664,57.500000,21.038395,8563153
2002-02-26,57.788887,63.255554,57.788887,62.977776,23.042627,20768503
2002-02-27,63.333332,67.033333,63.177776,64.711113,23.676826,19784839
2002-02-28,64.466667,67.111115,61.122223,63.211109,23.128002,17673138
2002-03-01,63.333332,66.666664,62.044445,65.833336,24.087433,9691933
2002-03-04,66.722221,72.222221,66.722221,68.633331,25.111912,10958526
2002-03-05,69.333336,75.266663,69.011108,72.411110,26.494143,20809845
2002-03-06,72.666664,73.333336,69.688889,71.022224,25.985968,16560531
2002-03-07,71.333336,72.177780,68.444443,70.322220,25.729849,11028865
2002-03-08,71.033333,71.911110,69.566666,69.866669,25.563173,6999430
2002-03-11,70.599998,70.599998,65.177780,65.988892,24.144352,9371380
2002-03-12,65.588890,65.988892,64.000000,64.733330,23.684959,12157897
2002-03-13,63.622223,66.777779,63.622223,65.077774,23.810995,9879097
2002-03-14,65.355553,66.333336,64.022224,64.488892,23.595528,6071944
2002-03-15,66.422218,67.555557,65.355553,66.522224,24.339483,9507771
2002-03-18,67.711113,69.044441,66.911110,67.288887,24.619997,5537200
2002-03-19,67.133331,68.000000,65.144447,65.655556,24.022392,3577036
2002-03-20,65.577774,65.733330,64.444443,65.088890,23.815052,4198369
2002-03-21,65.422218,65.933334,64.466667,64.688889,23.668699,2458111
2002-03-22,65.266663,65.266663,62.666664,63.744446,23.323143,4880205
2002-03-25,63.744446,63.744446,63.744446,63.744446,23.323143,0
2002-03-26,64.222221,65.066666,62.722221,64.577774,23.628048,5051920
2002-03-27,64.777779,65.555557,64.122223,64.566666,23.623983,4591971
2002-03-28,64.777779,65.844444,64.000000,64.566666,23.623983,7915491
2002-03-29,64.566666,64.566666,64.566666,64.566666,23.623983,0
2002-04-01,70.644447,71.033333,65.166664,69.800003,25.538784,18115992
2002-04-02,69.777779,70.000000,67.266663,67.588890,24.729765,7261096
